Designator,Qty,Query,Value,Description, Price ,Mouser Link,
J1,1,PJ-037A,,"2.1mm ID, DC Power Supply Connector, 2 Pin",$1.64 ,https://www.mouser.com/ProductDetail/CUI-Devices/PJ-037A?qs=WyjlAZoYn53bdNRXfildEA%3D%3D,
J17,1,RCJ-042,,Right Audio - Red RCA Jack,$1.64 ,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-042?qs=WyjlAZoYn51fgBDaFkMuLQ%3D%3D,
J18,1,RCJ-044,,Video Out Yellow RCA Jack,$1.64 ,https://www.mouser.com/ProductDetail/CUI-Devices/RCJ-044?qs=WyjlAZoYn50SPBJvOy7ojw%3D%3D,
C1,1,B41821F5228M,2200uF,"CAP, ALUM, TH, 12.5x25mm, 2200uF, 25V, 20%, Pitch 5.0mm",$1.14 ,https://www.mouser.com/ProductDetail/EPCOS-TDK/B41821F5228M?qs=asurgvgF1tLWRkuGTfMeAg%3D%3D,
"C2, C4, C5",3,FA18X7R1H103KNU06,.01uF,MLCC - Leaded RAD 50V 0.01uF X7R 10% Pitch 2.5mm,$0.90 ,https://www.mouser.com/ProductDetail/TDK/FA18X7R1H103KNU06?qs=UrFqKgNWc7SeRak9BDPdsw%3D%3D,
C3,1,A750KK107M1EAAE040,100uF,Aluminum Organic Polymer Capacitors 25V 100uF 20%,$0.62 ,https://www.mouser.com/ProductDetail/KEMET/A750KK107M1EAAE040?qs=M6jHmRuQorXMeyrpWCoqNA%3D%3D,
C6,1,FG18X7R1H104KNT06,.1uF,MLCC - Leaded RAD 50V 0.1uF X7R 10% Pitch 2.5mm,$0.26 ,https://www.mouser.com/ProductDetail/TDK/FG18X7R1H104KNT06?qs=qf2ddTMq67WA8sH6FratLA%3D%3D,
C7,1,TAP106K016SCS,10uF,CAP TANT 10uF 10% 16V RADIAL,$0.77 ,https://www.mouser.com/ProductDetail/Kyocera-AVX/TAP106K016SCS?qs=WgtGjR6Dmqz8oMYWYMRM0g%3D%3D,
R6,1,CFR-50JT-52-470R,470,Carbon Film Resistors - Through Hole - 470R 1/2W 5%,$0.13 ,https://www.mouser.com/ProductDetail/YAGEO/CFR-50JT-52-470R?qs=KUIzHt%2Fe91kPIzbDkmuUcw%3D%3D,
D1,1,DF210-G,,Bridge Rectifier Single Phase Standard 1 kV 2A TH 4-DF,$0.64 ,https://www.mouser.com/ProductDetail/Comchip-Technology/DF210-G?qs=tw%252BuQ%2FB6PO0Sbs3Iip8sAA%3D%3D,
Q1,1,KSA1015YTA,2SA1015,Bipolar (BJT) Transistor PNP 50 V 150 mA 80MHz 400 mW,$0.45 ,https://www.mouser.com/ProductDetail/onsemi-Fairchild/KSA1015YTA?qs=ljbEvF4DwOP4wK7PS53%252BtA%3D%3D,
U1,1,L7805CV-DG,7805,Linear Voltage Regulators POS Voltage Reg 1.5A,$0.99 ,https://www.mouser.com/ProductDetail/STMicroelectronics/L7805CV-DG?qs=T%2FOtf55vL7c3O0as9P9fAw%3D%3D,
J20,1,MD-90SM,,9 Pin DIM for Sega Genesis Port 2, $3.27 ,https://www.mouser.com/ProductDetail/CUI-Devices/MD-90SM?qs=WyjlAZoYn53AvrHguf2LdQ%3D%3D,
SW1,1,EG2319,,Slide Switches PC Mount Slide Switch, $1.06 ,https://www.mouser.com/ProductDetail/E-Switch/EG2319?qs=f57gQzlyLirXT6sCFZHxDA%3D%3D,
J4,1,M20-9990746,,7 Position 2.54mm Header Pins, $0.32 ,https://www.mouser.com/ProductDetail/Harwin/M20-9990746?qs=ulE8k0yEMYbWKWRML%252B4yYA%3D%3D,
,,,,,,,
Optional,,,,,,,
D3,,150080BS75000,-,Power LED 0805,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/150080BS75000?qs=2kOmHSv6VfT2tBo3UPVqAQ%3D%3D,
R5,,RC0805FR-074K7P,4.7k,Resistor 0805 4.7k,,https://www.mouser.com/ProductDetail/YAGEO/RC0805FR-074K7P?qs=oypCK0zG3256ATgXYmOMSw%3D%3D,
U1a,,R-78B5.0-2.0,,Alternative DC to DC Switching Converter,,https://www.mouser.com/ProductDetail/RECOM-Power/R-78B5.0-2.0?qs=X3130gGoUctzFy6YRarmwA%3D%3D,
J6,,SNES MultOut,-,NES Frontloader Multiout Port,,https://store.retrofixes.com/products/nes-frontloader-custom-multiport,
J3,,JST to Pigtail,,10pcs Micro Mini ZH 1.5mm 11P Cable,,https://www.aliexpress.com/item/32962965745.html,
J3,,11 Pin 1.50mm JST Connector,,11 Pin Housing 1.50mm for RGB NES,,https://www.aliexpress.com/item/3256802776860690.html,
,,,,,Total,,
,,,,,$15.47 ,,
,,,,,,,
,,,,,,,
,,,,,,,
